Error Type,Topic Guid,Message
Warning,03003544-e802-4988-9427-5fc4da64dcb8,Found a an ul list inside a table in html file:03003544-e802-4988-9427-5fc4da64dcb8.xml
Warning,03003544-e802-4988-9427-5fc4da64dcb8,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<i>&lt;ServerIdentity&gt;</i> in md file:03003544-e802-4988-9427-5fc4da64dcb8.md total found:0
Warning,0ac0001c-b314-4108-b895-d9c0e271b489,Found a an ul list inside a table in html file:0ac0001c-b314-4108-b895-d9c0e271b489.xml
Warning,0ac0001c-b314-4108-b895-d9c0e271b489,Found nested table in md file:0ac0001c-b314-4108-b895-d9c0e271b489.md
Warning,0ac0001c-b314-4108-b895-d9c0e271b489,Fixing missing end table tag in file:0ac0001c-b314-4108-b895-d9c0e271b489.md
Warning,0ac0001c-b314-4108-b895-d9c0e271b489,Fixing missing end table tag in file:0ac0001c-b314-4108-b895-d9c0e271b489.md
Warning,0ac0001c-b314-4108-b895-d9c0e271b489,Found invalid tables saving file:0ac0001c-b314-4108-b895-d9c0e271b489.md
Warning,0eda267b-41e5-4a60-a209-70a8522a9f41,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<i>&lt;ServerName&gt;</i> in md file:0eda267b-41e5-4a60-a209-70a8522a9f41.md total found:0
Warning,146b2b52-1ef8-4606-991a-4cf4da694970,Found a an ul list inside a table in html file:146b2b52-1ef8-4606-991a-4cf4da694970.xml
Warning,17751a60-39fe-433f-84d2-bfc14ff4ba51,Found a an ul list inside a table in html file:17751a60-39fe-433f-84d2-bfc14ff4ba51.xml
Warning,17751a60-39fe-433f-84d2-bfc14ff4ba51,Found nested table in md file:17751a60-39fe-433f-84d2-bfc14ff4ba51.md
Warning,17751a60-39fe-433f-84d2-bfc14ff4ba51,Fixing missing end table tag in file:17751a60-39fe-433f-84d2-bfc14ff4ba51.md
Warning,17751a60-39fe-433f-84d2-bfc14ff4ba51,Found invalid tables saving file:17751a60-39fe-433f-84d2-bfc14ff4ba51.md
Warning,1e80857c-b870-4a6d-a0f4-ff7b3a7be037,Found a an ul list inside a table in html file:1e80857c-b870-4a6d-a0f4-ff7b3a7be037.xml
